,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.11981804469021551,0.19396945012411063,0.6177160610268801,0.833958127097059,-0.36234659921394485,2.3152939023792216,0.5166392092257002,3035.0,0.3306724692604879,12.624157645052508
baseline,0.06409860713354848,0.11967061063861686,0.5356253034181836,0.6850672439933655,-0.28427623111396405,1.6054802148044072,0.5087314662273477,3035.0,0.22548000894190787,16.059586449199607
tvtp_logrv,0.05565152652344255,0.11102545822759223,0.5012501403899807,0.6339220975501184,-0.23342867155763347,1.5089988033115018,0.513014827018122,3035.0,0.23840913008709905,14.13242938668336
tvtp_exflow,0.06633550676955134,0.12087239939632863,0.5488060723610174,0.7390727235877994,-0.26250548864773104,1.634005535805523,0.5077429983525535,3035.0,0.2527014086877635,16.787233597907118
tvtp_both,0.05477879089537348,0.11641934558938703,0.47052996748993225,0.6027548170642549,-0.2500381144223265,1.4906908551371942,0.5093904448105436,3035.0,0.21908176288215583,18.106862025845114
