time,xi0,pstay0,xi1,pstay1,xi2,pstay2,h,m,logscore,window
2018-01-31,2.634778906625062e-06,0.05770707113623651,0.37225960900194305,0.4551361924153037,0.6277377562191503,0.6277431014936846,0.0031100715329707785,0.0004415718472489858,2.2906574045366273,0
2018-02-01,0.07164492154444876,0.09766595787746517,0.4931864900061136,0.5313787864546023,0.4351685884494377,0.5723616867800974,0.0022885532690678514,0.0012883468670532817,-0.23868880110962942,0
2018-02-02,1.3443434717579432e-05,0.06972675423211334,0.39115001370403785,0.48307035501000856,0.6088365428612447,0.6088635340655989,0.003033028726628074,0.0005479557112611903,1.7641028882982703,0
2018-02-03,0.03883801821805276,0.067771672202997,0.4275496432375794,0.4788887049619912,0.5336123385443678,0.6117719512828345,0.002706792391192765,0.0008428122747856263,1.6174382791631396,0
2018-02-04,0.04250659232587214,0.06688959257032803,0.4300169573373077,0.4769594731550291,0.5274764503368201,0.6131031581277357,0.002679923251930194,0.000865200213767981,0.05134839498468169,0
2018-02-05,1.623663050415669e-05,0.046596035872221775,0.35220021767183035,0.4235669993452008,0.6477835456976655,0.6478163670505958,0.0031917423578218204,0.00032866275956201525,-2.3442321175385823,0
2018-02-06,4.987460958100355e-12,0.020143543854757327,0.28455522947104844,0.3080381311273777,0.7154447705239642,0.7154447705239755,0.0034672518287024116,-5.2237087401457065e-05,-0.22041381617479805,0
2018-02-07,4.934316925529102e-07,0.01563907906767944,0.26708962109305756,0.27738467891646135,0.7329098854752499,0.7329105323098668,0.0035383184681947954,-0.00015057273168368572,2.018059640786782,0
2018-02-08,0.014613782688825913,0.01575386008882938,0.27225831538762496,0.2782382189942973,0.713127901923549,0.732422652456161,0.003450421360061366,-8.762788584008798e-05,0.8149377054036588,0
2018-02-09,0.0006133461846441583,0.014801876747957812,0.2635952597839719,0.27102488028687555,0.7357913940313838,0.7365505321777458,0.0035497308704003855,-0.00016882773864523425,1.2988785491796424,0
2018-02-10,0.0050273696580298705,0.017405103690742454,0.2765434971620232,0.2900647794750866,0.7184291331799468,0.7256748652156283,0.003476850101802964,-8.570253829477117e-05,2.020280086196805,0
2018-02-11,0.016034825739358025,0.01736007557362573,0.2815073395532438,0.28975293126292667,0.7024578347073982,0.7258525527754023,0.003406279369757933,-3.226196401608008e-05,1.2203236009818084,0
2018-02-12,0.003049630823560091,0.020293316999115577,0.28692088670156723,0.3089690793581527,0.7100294824748725,0.7149150964543592,0.0034436688608197766,-3.1854943371034065e-05,0.4084642707505659,0
2018-02-13,5.004639180764077e-05,0.01742166429990717,0.27441253916710523,0.2901793292305695,0.7255374144410871,0.7256095986798875,0.003508296565780623,-0.00010922767219810766,1.4017541697102318,0
2018-02-14,0.004864753101465511,0.017285589361228832,0.2759608062443365,0.2892358145590283,0.719174440654198,0.7261472233557249,0.003479965318447368,-8.935987883723e-05,0.21062031269746073,0
2018-02-15,1.0605408501573503e-05,0.017072406717230156,0.27300872441477514,0.28774709285847666,0.7269806701767233,0.7269957180354565,0.0035141890805858935,-0.00011722292717257,1.0178212182917583,0
2018-02-16,0.0028013458170808637,0.03208232467319153,0.3226380496739497,0.3699342401245078,0.6745606045089695,0.6799335127803878,0.003299400991412545,0.0001686687383357379,2.2471849038670797,0
2018-02-17,0.042119505898915444,0.04898620430456732,0.4013763927730936,0.4309231767478878,0.5565041013279908,0.6432361577276429,0.002798522312468959,0.0007030484919717809,0.39590970388941904,0
2018-02-18,0.0007354069314335374,0.039698676496124255,0.33869525925029464,0.4002264735135161,0.6605693338182718,0.6620343333122708,0.003243462724640083,0.0002542912140130198,1.05469009145817,0
2018-02-19,0.0034214568800426315,0.04228853037282062,0.3469371361687773,0.40938804846738336,0.6496414069511799,0.6565057020307098,0.003197594856546689,0.00030691626434337224,0.9635791977705446,0
2018-02-20,0.005327783892764677,0.04068674078435808,0.3454212845580771,0.4037823084716033,0.6492509315491583,0.6598958919858405,0.003195043344589745,0.00030279648831200425,2.268092636293951,0
2018-02-21,0.03876323705310848,0.04085124851233633,0.3812049034134549,0.4043669487263168,0.5800318595334365,0.6595434212265574,0.002896139777139847,0.0005817038406199399,0.6954685486946344,0
2018-02-22,0.0008730670445041938,0.03799501334101067,0.33504425699780344,0.3939098805470424,0.6640826759576923,0.6658115430079082,0.0032577030140063337,0.0002340537525471892,1.0900226485542683,0
2018-02-23,0.004157705656307776,0.04511414362458769,0.3534899169296386,0.4188288194308979,0.6423523774140535,0.6507394598670656,0.0031675291494851054,0.00034551555816212764,1.9424948187152953,0
2018-02-24,0.03565173042445368,0.04677234503227378,0.3889609499219191,0.4241214661444505,0.5753873196536272,0.6474729552501379,0.0028787663237703825,0.0006181667242927042,1.1794842954257907,0
2018-02-25,0.014927439892993317,0.06341776459925275,0.3967817198575366,0.46909532416355115,0.5882908402494701,0.6184639927164064,0.0029417789567004597,0.0006142038770562882,2.2684650696499915,0
2018-02-26,0.06102392315165996,0.07518338284443286,0.4645299728931369,0.494095974625163,0.4744461039552032,0.6010331559417852,0.0024542406734428856,0.0011024042053913944,0.5230405926002347,0
2018-02-27,0.005991853415388221,0.06148876967081209,0.38460731303963835,0.4645292135057316,0.6094008335449734,0.6215309436348615,0.0030323247853749524,0.0005249639156826834,1.8310582359126795,0
2018-02-28,0.04886581451554474,0.07864920417571312,0.4517375817076459,0.5006443291995846,0.4993966037768093,0.5962609804959061,0.0025621581590347248,0.0010022216338341154,1.5685811902015452,0
2018-03-01,0.04776977895910764,0.08765062289372715,0.4609628175298319,0.5161988782712448,0.49126740351106046,0.5845067552328288,0.0025295237258074494,0.0010516242178696148,0.9094405027669756,0
2018-03-02,0.0227973431107786,0.09055866855290375,0.44057373891616874,0.5208199431092088,0.5366289179730526,0.5808868207194315,0.0027271256741666383,0.0008789927342474444,2.4229211722371904,0
2018-03-03,0.07713480241876876,0.09065862459877165,0.4999705871654588,0.5209755385965277,0.42289461041577225,0.580763816041611,0.0022356835500818685,0.0013392576687316104,1.6679121628410867,0
2018-03-04,0.07396023808765069,0.11118191859780839,0.5065499537412009,0.5489507523656615,0.4194898081711484,0.5572471651716419,0.0022233513495215807,0.001368949441948552,2.71483527893604,0
2018-03-05,0.11545477805413465,0.13509764622594372,0.5795240367288242,0.5736877857642929,0.3050211852170412,0.533292840574671,0.0017347955554490356,0.0018759149894322603,2.7816958678452197,0
2018-03-06,0.12717061308833466,0.14180106003142473,0.5913680715967743,0.5794529911774771,0.281461315314891,0.5270950083168607,0.0016326121043876317,0.0019697337421133413,-0.10195150250647966,0
2018-03-07,0.002843748072265692,0.1125068775654651,0.44660432137239103,0.5505172015154411,0.5505519305553433,0.5558338786006674,0.0027939143630980896,0.0008667354610162314,0.5994031994974087,0
2018-03-08,0.0012956455818892614,0.08459313641504558,0.4128447309488893,0.5111359196035677,0.5858596234692214,0.5884023901027093,0.00293870601093909,0.0006730731943729542,0.9400336671203617,0
2018-03-09,0.007116844909224858,0.09096697632622432,0.4263039832513624,0.5214542020541358,0.5665791718394126,0.5803849444955897,0.002857156396232831,0.0007623345013865376,2.333387855128288,0
2018-03-10,0.07550138612635836,0.0957377400095606,0.4982442963227494,0.5286122515096935,0.42625431755089227,0.5746316213003132,0.002250220872357386,0.0013257552228929097,0.7941055772225829,0
