time,xi0,pstay0,xi1,pstay1,xi2,pstay2,h,m,logscore,window
2018-01-31,0.00015597690256180326,0.921654414125638,0.14900099363733513,0.8822049235220425,0.850843029460103,0.8531916240733267,0.003982670526371822,-0.0010847990457636333,1.9663503588615605,0
2018-02-01,0.016373298255280652,0.9131248266954758,0.39179880680855556,0.8896006142384966,0.5918278949361636,0.8259333439798858,0.0029883170869841732,0.000580460760449579,0.06830085665203212,0
2018-02-02,6.413611019495903e-05,0.8540747789034966,0.05573355766394314,0.8279821976155426,0.9442023062258618,0.9452052698855686,0.004335996051432554,-0.001709328656348395,1.7161030733206284,0
2018-02-03,0.0037002393431839076,0.8662793218755002,0.11213536461133175,0.8318532734386804,0.8841643960454842,0.941890634290147,0.004106566836923224,-0.0013228135835083074,1.6309055478446801,0
2018-02-04,0.007691045329961295,0.9173648600984402,0.2679203275283478,0.8864603033021872,0.7243886271416908,0.8382959814275655,0.003498150309618959,-0.0002701830751705408,0.36918055650874976,0
2018-02-05,6.276695635877325e-05,0.8848444210337771,0.0655297115484346,0.8386166097603114,0.9344075214952067,0.9353891326578786,0.004298970653943103,-0.001643759671434027,-2.0136847622413736,0
2018-02-06,5.420104906442419e-12,0.923508636221522,0.10068144918780467,0.863957015723613,0.8993185508067753,0.8993185508886435,0.0041662970455557695,-0.0014086200204431294,-0.022603435563300717,0
2018-02-07,6.141079834587889e-06,0.884808454184537,0.06468578939511721,0.8386021380873865,0.9353080695250483,0.9354041098608248,0.00430241184638015,-0.0016495484547825053,1.8201976787070153,0
2018-02-08,0.006199951911021873,0.9032442638776433,0.2821839902226951,0.8950941873771261,0.7116160578662831,0.800988269259846,0.0034505643130662103,-0.00017838878687406572,0.8449915882262863,0
2018-02-09,0.003132101683088429,0.9215056539067158,0.14074405909324494,0.8610576355928836,0.8561238392236665,0.9047060191098675,0.004000764324951465,-0.0011327189859957412,1.4084996100972997,0
2018-02-10,0.00541882408639716,0.8688923961866453,0.33807849237792076,0.9067712755758814,0.6565026835356822,0.7294264295276213,0.0032414754859474634,0.0001938224381158799,2.0421889015085997,0
2018-02-11,0.03449122348704119,0.9227903557045725,0.507822036896825,0.880707253362932,0.45768673961613376,0.8579814338628128,0.002465146199986781,0.0014018249088023449,1.0557687807141134,0
2018-02-12,0.014331566852150805,0.8229618309244192,0.5123925216390777,0.9159179866197495,0.47327591150877135,0.648421709067891,0.002537221280019009,0.0013826351280145867,0.009644285164717603,0
2018-02-13,0.00134210650183372,0.9132870146443595,0.19208044632749838,0.8894924230517879,0.8065774471706679,0.8263805296235003,0.0038141415472359263,-0.0007935096879155529,1.502081759964832,0
2018-02-14,0.006522699838619502,0.9241605603359092,0.22759437577216796,0.8784331031358563,0.7658829243892126,0.8648481746898666,0.0036564551103402025,-0.0005429974489019993,0.253509506232031,0
2018-02-15,0.00013336663966318486,0.9064692305898483,0.19307489190911808,0.8934942836721885,0.8067917414512187,0.8087308645027027,0.0038157262063439473,-0.000789838099384432,1.1380264676970206,0
2018-02-16,0.003782794612060302,0.920062206479447,0.20570664049308918,0.8839779282422677,0.7905105648948505,0.8472264062292458,0.0037516471179326214,-0.0006962730944496798,2.047547561847888,0
2018-02-17,0.03304502996470168,0.9149535922488288,0.4477401427585749,0.8883316355296628,0.5192148272767234,0.8310805754727879,0.0027010028442965802,0.0009960843541732816,0.36190214791230313,0
2018-02-18,0.0030680450961823773,0.9238975188993673,0.1800609944156622,0.8789292015141729,0.8168709604881554,0.8633902992239445,0.0038520665890644326,-0.0008697019994360679,1.2692648397308581,0
2018-02-19,0.0024604082521331692,0.9229903226106558,0.1758417169497797,0.8804147659650469,0.8216978747980872,0.8588914289830987,0.003870753071465188,-0.0008994450385220477,1.1810032415561196,0
2018-02-20,0.0037594219151200928,0.9059125621190742,0.24346556599174893,0.8937813636378679,0.7527750120931309,0.8073721021854903,0.003608454883784389,-0.0004435844678716003,2.0829232007247924,0
2018-02-21,0.034411346416999875,0.9258231489683187,0.4495290716784781,0.8717640090600719,0.5160595819045221,0.8825014239446815,0.002688110190282042,0.001011432923859673,0.6308319357958695,0
2018-02-22,0.00311033086055641,0.923700585181445,0.1463384054466036,0.8642925319851941,0.8505512636928401,0.8986676755073425,0.00397967085328657,-0.0010953259569178885,1.3254654018986993,0
2018-02-23,0.002205581067990704,0.9247931234210159,0.13779336205216394,0.8665911370025334,0.8600010568798455,0.8940454672043354,0.004016043195162619,-0.001154758013584125,1.7926918105557117,0
2018-02-24,0.012705185291267945,0.9258020463859526,0.29474703649578565,0.872598168229125,0.6925477782129463,0.8804765594449051,0.003373968551367496,-7.823139894218875e-05,1.3686247035779375,0
