tvtp_logrv vs,dm_qlike,p_qlike,dm_mse,p_mse
rolling RV10,-4.365937780993764,1.3081062066135943e-05,-1.3077912986061933,0.19104318838558454
EWMA(0.94),-0.9787686363816767,0.3277723458181025,-0.8712974445095717,0.3836607027892406
baseline HMM,-1.431200184122951,0.1524758430360202,-2.162912133360659,0.030625812152286304
