time,Buy&Hold,VolTarget (no regime),baseline,tvtp_logrv,tvtp_exflow,tvtp_both
2018-01-31,0.008091687042716678,0.0013559973010075859,8.145910091470043e-05,0.00028272194551176794,0.00010020812214779016,0.00025553746443449994
2018-02-01,-0.1005195117019998,-0.01880152347401838,-0.0032322808378980506,-0.007034822861210886,-0.004114420383726466,-0.009671905561752424
2018-02-02,-0.028074279106937716,-0.004721965377146031,-0.00030214504309382763,-0.0010762127533226504,-0.00016087159364850287,-0.0009968521799014597
2018-02-03,0.03938309753828673,0.006989047026519448,0.0008481609133312371,0.0019881524327159624,0.00037919961045586835,0.0008152384493606728
2018-02-04,-0.09653567035434252,-0.018242913073071333,-0.003302117430646022,-0.005028291423214884,-0.0024356261085283558,-0.0048975910892965855
2018-02-05,-0.16980543840539686,-0.028470954258287204,-0.001726089076053769,-0.0055608585549640575,-0.0009098352340269426,-0.004310910507612326
2018-02-06,0.12980449316876475,0.021738110057504353,0.0012895446305070009,0.0032760105901677087,0.0010568615305217252,0.0018956194782207433
2018-02-07,-0.01473753938399991,-0.0024681527212065107,-0.00014651205932847205,-0.0003481608476293327,-7.908922656350841e-05,-0.0001777864657360294
2018-02-08,0.0779038666258618,0.014236764516478512,0.002137006362078329,0.002089513603364851,0.0020238344721693483,0.002071251549140563
2018-02-09,0.05376507501474981,0.009159542490632397,0.0007189130293267701,0.001247264507091001,0.0006399858217051221,0.0006192538032605146
2018-02-10,-0.015029312673481399,-0.002629982531327066,-0.00028155489414039356,-0.000384536305324327,-0.0005020181971130483,-0.00032069750801731945
2018-02-11,-0.050826429223090996,-0.009924933404250257,-0.002114325079072414,-0.001432060173300721,-0.0031193847889725047,-0.0010571667855298497
2018-02-12,0.10015671140642812,0.017964690055811375,0.00237206523205241,0.00261571660891357,0.005626556156099408,0.002200979709606592
2018-02-13,-0.043075601083953696,-0.007240927065148901,-0.00045985772526839453,-0.0010468359957491447,-0.0007507607200208056,-0.0006165803294593205
2018-02-14,0.11066843740168464,0.019079337837269186,0.0017422562888085625,0.0028042490054502496,0.0023009087988070864,0.0016430840361361975
2018-02-15,0.06754111321029299,0.0113112225521853,0.0006713590000533962,0.0016270024007316206,0.0011020709636029421,0.0009470710715620089
2018-02-16,0.008171127018323565,0.0013853078142459876,0.00010123052203880031,0.0002386018296244457,0.0001470794865052333,0.00017309247048992462
2018-02-17,0.08796291022068936,0.016850052231115586,0.003293392961767286,0.004208365556927759,0.004518559324457661,0.004897054610729319
2018-02-18,-0.05714679654547705,-0.009700005700004575,-0.0007207182223157107,-0.0018034042275646986,-0.0009334169332745124,-0.0014376826718691114
2018-02-19,0.06575370316864504,0.011149992429288172,0.0008174607712369123,0.002151771110538803,0.0009994690791385412,0.001745740110079381
2018-02-20,0.009567571945238162,0.0016322233773826986,0.0001305073124621767,0.00031524613226181097,0.0002025765933754624,0.0002852606287329946
