event,date,p_turb_smoothed_pre10d,p_turb_smoothed_event,p_turb_filtered_event,p_turb_smoothed_max_pm10d,first_day_filtered_gt_0.5,model
COVID crash,2020-03-12,0.24984349881675144,1.0000000000000075,1.0,1.0000000000000075,2020-03-08,HMM K=2
Terra/LUNA,2022-05-09,0.34955541273275065,0.9999999954217756,0.9999999886391542,0.9999999954217756,2022-05-04,HMM K=2
FTX collapse,2022-11-08,0.033176908520858236,0.9999999052494546,0.9999992373573734,1.0000000000000047,2022-11-04,HMM K=2
COVID crash,2020-03-12,0.7374628007880576,0.9999999999999991,1.0,0.9999999999999991,2020-03-02,TVTP logrv
Terra/LUNA,2022-05-09,0.4106585259324633,0.9999999999304475,0.9999999999363146,0.9999999999304475,2022-05-04,TVTP logrv
FTX collapse,2022-11-08,0.0829242236137128,0.9999999954776623,0.9999999940332619,0.9999999999999958,2022-11-04,TVTP logrv
