model,K,n_params,loglik,aic,bic,mu1,sigma1_ann%,se_mu1,se_sigma1_ann%,mu2,sigma2_ann%,se_mu2,se_sigma2_ann%,beta1_0,beta2_0,se_beta1_0,se_beta2_0,p11_at_mean_z,p22_at_mean_z,dur1_at_mean_z,dur2_at_mean_z,mu3,sigma3_ann%,se_mu3,se_sigma3_ann%,beta1_logrv10,beta2_logrv10,se_beta1_logrv10,se_beta2_logrv10,lr_stat,lr_p,beta1_exflow30,beta2_exflow30,se_beta1_exflow30,se_beta2_exflow30
HMM K=2,2,6,9364.167851966016,-18716.335703932033,-18677.8713782506,0.0013488115723075504,33.35417676157289,0.00038664871807540113,1.0618113560154427,0.0003841477831770309,105.49069924212182,0.0014506644256271615,2.8062582378279197,2.187448463040634,1.463093462471324,0.1655630015784754,0.18398984929738493,0.8991167026619975,0.8120053558984409,9.912443649116357,5.31930047677197,,,,,,,,,,,,,,
HMM K=3,3,12,9498.578989193924,-18973.157978387848,-18896.22932702498,0.00043604433483303355,17.747026525223863,0.0003850431453470464,1.3340426174792168,0.002435698813172881,57.37039343425394,0.0008020871033848814,2.9538386075750918,,,,,,,,,-0.0012309630605779522,118.40073462138693,0.0022160663193943886,4.199828435482644,,,,,,,,,,
TVTP logrv,2,8,9463.3206973624,-18910.6413947248,-18859.355627149554,0.0012326280698981673,29.555107022305073,0.0003749601553230967,1.0338103816581465,0.0006435643110162448,104.62603692872403,0.0014006733477604331,2.6952198575454633,0.8552180027517216,-0.5137585210991443,0.12850429935488247,0.22028842065462412,0.7016605907929078,0.3743128545959697,3.351887042539024,1.5982428396451418,,,,,-0.9140274254836607,1.2506508322780399,0.11963021404481178,0.22444131528092626,198.30569079276756,8.678933872278864e-44,,,,
TVTP exflow,2,8,9367.020687570759,-18718.041375141518,-18666.755607566272,0.0013573164523604567,33.44566758841145,0.0003874725961942883,1.0710055918960963,0.0003731791882392174,105.52147175399251,0.0014527204923226386,2.8090834927886106,2.1855955106976794,1.4481756584840775,0.16748851554457614,0.18437231388201905,0.8989485046888179,0.8097175072558509,9.895944606465836,5.255344228355178,,,,,,,,,5.705671209485445,0.05768052957766484,-0.20450345903170453,0.17263194913937094,0.1428208435547682,0.11725963007843267
TVTP both,2,10,9466.949298532967,-18913.898597065934,-18849.791387596877,0.001215384261148421,29.600239610463326,0.0003752089589047861,1.0330868793990888,0.0006733539916732081,104.55314392869445,0.0013986201507452357,2.6806347554921883,0.8403655540162236,-0.5636669344029371,0.13027571652691766,0.22555323931358506,0.6985422003173918,0.3626994271278093,3.31721388881912,1.5691183133465467,,,,,-0.9111405726348256,1.3041215519660665,0.11993196604957478,0.22895242706770563,205.56289313390153,2.39168860179835e-43,-0.23935868935407,0.104003172030749,0.13422614904194047,0.11510429027479165
TVTP logrv K=3,3,18,9580.388522795434,-19124.77704559087,-19009.384068546566,0.0005074790196962224,15.474257474996833,0.0003898499290349788,1.1237860041610248,0.0018726046160686062,48.9962429728756,0.0006607328566754702,2.2127315703264006,,,,,,,,,-0.0006987900462830883,127.36497879060695,0.002450135121817786,4.725774363080372,,,,,163.61906720302068,1.0133628963226963e-32,,,,
