time,xi0,pstay0,xi1,pstay1,xi2,pstay2,h,m,logscore,window
2018-01-31,6.5117258588140235e-06,0.024282734300819453,0.34073594150010905,0.5020360488828077,0.6592575467740321,0.6592744804887632,0.0031896660707161437,0.00010421643020970647,2.2429288617548773,0
2018-02-01,0.09691414785263687,0.04851437299653389,0.5815334789920592,0.6631430414858822,0.32155237315530383,0.5362508145668611,0.0018028491892915063,0.0018971016174685815,-0.545889568550618,0
2018-02-02,3.4759477042546353e-06,0.0834841455394435,0.3558149653665282,0.04588772363892335,0.6441815586857675,0.6440547729555957,0.0031302338257517648,0.00020001868218736513,1.7681909829335658,0
2018-02-03,0.0036908478880088597,0.07650856218528816,0.23334401906547791,0.05387523007220035,0.7629651330465131,0.6486810206916017,0.0035960009271492786,-0.0005681456458897114,1.6406534362345186,0
2018-02-04,0.03356114108099129,0.02787098973327122,0.43167090715292966,0.5883365915353717,0.5347679517660789,0.62616702645242,0.002680350356980595,0.0007730318179640602,0.06197751114732852,0
2018-02-05,3.4524601363066427e-06,0.04055647406792491,0.2820219185677989,0.05573820189444979,0.7179746289720649,0.7178897419878487,0.0034209724554337844,-0.000268854421906964,-2.2913786703769583,0
2018-02-06,2.3608476986111534e-08,0.006870054507373163,0.17398627239865938,0.12271198079034261,0.8260137039928638,0.8260137039928328,0.0038458462868440047,-0.0009553105376831276,-0.1120731459390123,0
2018-02-07,7.158545148885282e-08,0.007779445657121431,0.14288287776374042,0.02529232666332377,0.8571170506508081,0.85711495593128,0.003967987839960991,-0.0011529380139455089,1.905093545854342,0
2018-02-08,0.01985731043167127,0.0019526765551931375,0.25950403509589404,0.5485851470530959,0.7206386544724346,0.8406737119527988,0.003420647498769608,-0.00035807258163253063,0.8207294564410856,0
2018-02-09,0.0002453277752910304,0.004547600924922145,0.14154868559384035,0.08541565227847685,0.8582059866308687,0.8570535915925412,0.00397212756370632,-0.001160750014378474,1.38195907716645,0
2018-02-10,0.00919677927435195,0.0014659257337492377,0.22014770494675373,0.7485436195111239,0.7706555157788942,0.8251348955106598,0.0036232349892092062,-0.0006370575266976216,1.9689530293611242,0
2018-02-11,0.014490405471734207,0.003563632263004306,0.21064936155956845,0.29255415568760146,0.7748602329686973,0.8362966839157776,0.0036368717586600565,-0.0006830488267078811,1.3082530034924562,0
2018-02-12,0.008398027909030263,0.001232014143480459,0.2342397399558479,0.8174703228153034,0.7573622321351219,0.8022755891168569,0.003571391563446633,-0.0005496850519728603,0.45365898505934565,0
2018-02-13,0.00011212117557591346,0.0027586186987290824,0.1677285452029295,0.4511076345246198,0.8321593336214945,0.8327739526696187,0.0038699245176866065,-0.000994767369898003,1.4875731374515944,0
2018-02-14,0.0028211893024863805,0.0037691149864052423,0.17037549599074941,0.257871721692916,0.8268033147067643,0.83748425798411,0.0038473983426615325,-0.0009705999766633231,0.3251382431262494,0
2018-02-15,2.2477328214800453e-05,0.0023437966555534743,0.16683594802410812,0.5276588316241507,0.8331415746476771,0.8332717705463448,0.003873831705154615,-0.0010006820148753502,1.1307143171794243,0
2018-02-16,0.0025078462096807903,0.008749729487627192,0.2473330333526161,0.4404880334763066,0.750159120437703,0.7596223775440476,0.0035462722145871203,-0.0004824701187403351,2.1453100413476687,0
