,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.11981804469021551,0.19396945012411063,0.6177160610268801,0.833958127097059,-0.36234659921394485,2.3152939023792216,0.5166392092257002,3035.0,0.3306724692604879,12.624157645052508
baseline,0.3011388922928019,0.444832816312341,0.6769709455998321,0.8404696708029104,-0.5872789443041708,5.292898607742567,0.4945634266886326,3035.0,0.5127697752719571,34.25449604641838
tvtp_logrv,0.27827476757415187,0.4410661329466691,0.6309139305597038,0.7666502922480062,-0.6032783384513714,4.415451969641414,0.49785831960461285,3035.0,0.461270942179839,36.652596560609254
tvtp_exflow,0.3239996327390029,0.45895090071756617,0.7059570691166135,0.9093305511636619,-0.6855478989545094,6.132959182388037,0.48929159802306427,3035.0,0.4726141429841978,40.071542893427214
tvtp_both,0.2634847925919961,0.444154239107839,0.5932281387683049,0.7168499630335672,-0.6358468641834762,3.8684300035353916,0.4886326194398682,3035.0,0.4143840402993109,48.78496021838999
