model,mean_qlike,mean_mse_x1e6,mean_logscore,dm_qlike,p_qlike,dm_mse,p_mse,dm_logscore,p_logscore
baseline,-5.834715517410663,22.458189470261576,2.118782311080828,,,,,,
tvtp_logrv,-5.859835019358536,22.3289160513063,2.138156824282464,-1.431200184122951,0.1524758430360202,-2.162912133360659,0.030625812152286304,-4.05227283909634,5.199522177908537e-05
tvtp_exflow,-5.846899680807303,22.47735086483793,2.1123625840107216,-0.6106683760675098,0.541464887528959,0.27069530130709296,0.7866438040136824,2.679185214970085,0.00741999806028563
tvtp_both,-5.858511508736175,22.304116192823106,2.1353729525344645,-0.7498669342661247,0.4533929919209732,-1.5115883920040365,0.1307427502199763,-3.1928356665617716,0.0014232410840523933
rolling RV10 (ref),-5.500666302881036,23.925744165540962,,4.077804720901793,4.6631491649286544e-05,1.2129765807375024,0.22523320549386652,,
EWMA(0.94) (ref),-5.8250176861186915,22.535723095850617,,0.28263812688974566,0.7774735304326748,0.33451665726227015,0.7380128457248446,,
