time,xi0,pstay0,xi1,pstay1,h,m,logscore,window
2018-01-31,0.039463540968536506,0.9839428877555775,0.9605364590314636,0.9700941011885202,0.002939554093101915,0.0029999341065539294,2.301266704716123,0
2018-02-01,0.12152427924723552,0.9900985253059277,0.8784757207527646,0.9665996875784655,0.0027516364963569417,0.00285719883867464,-0.5544386446699252,0
2018-02-02,0.02748874763235869,0.8157872874667715,0.9725112523676415,0.9835622685231189,0.002966972745000836,0.0030207628898489755,1.870888673594514,0
2018-02-03,0.02845308051982607,0.8373148130451394,0.9715469194801738,0.982986222497388,0.002964764746721416,0.0030190855430945497,1.772129911483111,0
2018-02-04,0.04023047339759763,0.9877672477598599,0.9597695266024024,0.9681712740060925,0.00293779802042941,0.002998600115317639,-0.34028592576539274,0
2018-02-05,0.021739224522459664,0.8711572866361332,0.9782607754775404,0.9818895349097712,0.0029801371041939043,0.003030763527650727,-2.584914755124629,0
2018-02-06,0.026275781411227658,0.9559517311398832,0.9737242185887723,0.9763677262439551,0.002969750022078937,0.0030228727058478717,-0.7617995672741027,0
2018-02-07,0.020216137216345634,0.8710900909599153,0.9797838627836543,0.981892015024898,0.0029836243978904283,0.0030334127638043593,2.1394303501717613,0
2018-02-08,0.062477449313757066,0.9933244498356347,0.937522550686243,0.9634764728575252,0.002886856773254569,0.002959904045388161,0.6729098421544839,0
2018-02-09,0.02954070753898778,0.9493186890419693,0.9704592924610124,0.9771465956912894,0.002962274439557297,0.003017193740300801,1.4018102910584298,0
2018-02-10,0.05035972585474712,0.9974533887211785,0.9496402741452528,0.9546550885042439,0.00291460437408765,0.0029809814392830905,2.1441979818716423,0
2018-02-11,0.09161912650512163,0.9823946703851699,0.9083808734948785,0.9707206169856568,0.002820123470590357,0.0029092154312273383,1.1735355253535031,0
2018-02-12,0.07230486282821,0.9989802440678981,0.92769513717179,0.9444554119062775,0.002864352954368701,0.0029428103836691786,0.010033440208809738,0
2018-02-13,0.04027019914203436,0.9900245381184012,0.9597298008579654,0.9666562124228735,0.0029377070588715044,0.0029985310169291413,1.4578767544495894,0
2018-02-14,0.03759360350958525,0.9798235796126368,0.9624063964904147,0.9716269284566019,0.002943835741009227,0.003003186648874648,-0.2549823578004286,0
2018-02-15,0.03896465499826345,0.9924867339467227,0.9610353450017366,0.9644403727742709,0.0029406964082793834,0.0030008018616351265,1.0006650896224303,0
2018-02-16,0.03555290445954752,0.9856357538461721,0.9644470955404524,0.9693197210157337,0.0029485083623455844,0.003006736211450833,2.304610333502536,0
2018-02-17,0.11667789975165005,0.9892029761732464,0.88332210024835,0.9672517026420142,0.002762735749332155,0.002865628561463603,0.3219814489116796,0
