time,close,y,p_turb_filtered_hmm,p_turb_filtered_tvtp,event
2020-02-27,8779.02948188194,-0.0022595935024440905,0.8063481420054681,0.48879449252540447,COVID crash
2020-02-28,8750.59344599649,-0.003244343696954033,0.6075924859949521,0.3250537006079016,COVID crash
2020-02-29,8582.09029964933,-0.019444011973332564,0.5984557076421849,0.49710326760261436,COVID crash
2020-03-01,8541.77389392169,-0.004708806349551509,0.38261903042869716,0.22316234703627932,COVID crash
2020-03-02,8906.21475645821,0.04178061814508638,0.6571204477860261,0.7342532652488706,COVID crash
2020-03-03,8768.81061420222,-0.015548142921904429,0.5861787354271227,0.5066422807438338,COVID crash
2020-03-04,8756.36957218001,-0.0014197907216679795,0.35232428491270307,0.2508928010775937,COVID crash
2020-03-05,9062.61580274693,0.03437641168537908,0.5488106032681127,0.6772944285596596,COVID crash
2020-03-06,9147.08505897136,0.009277457409027079,0.3668146967236435,0.3279846035939287,COVID crash
2020-03-07,8898.30695675044,-0.027574226678773073,0.48818927933849926,0.5805134352660792,COVID crash
2020-03-08,8109.61454114553,-0.09281069090108218,0.8658127216666736,0.8846574973958282,COVID crash
2020-03-09,7896.38531987142,-0.02664523784612527,0.8960475112009626,0.8314381160300667,COVID crash
2020-03-10,7909.92787545295,0.0017135632741069884,0.734787464629891,0.4449525011305304,COVID crash
2020-03-11,7939.34133477499,0.003711652909601071,0.5094008200622991,0.31858867540499075,COVID crash
2020-03-12,4959.31341437756,-0.4705630098654261,0.6517789448161058,0.7559045549921071,COVID crash
2020-03-13,5627.69238836938,0.12643217376223248,0.927080134219682,0.998506870273452,COVID crash
2020-03-14,5145.17250642899,-0.08964058272657383,0.9850006769373816,0.999590176039596,COVID crash
2020-03-15,5358.61066335476,0.04064583921511655,0.9867390116799413,0.9987059410687015,COVID crash
2020-03-16,5012.92738778492,-0.06668468349151979,0.9933847695948606,0.9994764799742468,COVID crash
2020-03-17,5416.7547106955,0.07747682086390384,0.9953202084306443,0.999592337481825,COVID crash
2020-03-18,5392.48783594389,-0.004490030715103899,0.9363833391521786,0.9849666234586191,COVID crash
2020-03-19,6203.5516320865,0.1401151283808595,0.9865655523154427,0.9995809016203616,COVID crash
2022-04-25,40473.7483176505,0.024058118137565643,0.06487637096033531,0.2014310302199844,Terra/LUNA
2022-04-26,38072.800873758,-0.06115343489356562,0.30769329206228857,0.6861864904475481,Terra/LUNA
2022-04-27,39218.5376174752,0.029649394054658273,0.437982107645419,0.6610055879541715,Terra/LUNA
2022-04-28,39747.9894270018,0.013409725948136497,0.3224761619525047,0.3545419404114495,Terra/LUNA
2022-04-29,38609.5059070719,-0.029060746193694698,0.4617981375263893,0.5857354985598929,Terra/LUNA
2022-04-30,37714.0949804208,-0.023464616433740204,0.5218979705828891,0.5665598365928222,Terra/LUNA
2022-05-01,38459.226979135,0.019564743871288925,0.49528016936411084,0.47448553916716335,Terra/LUNA
2022-05-02,38566.0628877849,0.0027740493374608377,0.2761502774651637,0.20884407235934055,Terra/LUNA
2022-05-03,37704.4053153127,-0.02259575045725981,0.322625464275852,0.4478587414657987,Terra/LUNA
2022-05-04,39641.852176505,0.050108493814892796,0.6641637710578293,0.848743116358324,Terra/LUNA
2022-05-05,36502.0245601403,-0.08251770685597926,0.925403148697228,0.9618141357430161,Terra/LUNA
2022-05-06,36042.9995584453,-0.012655068582748896,0.8591860501785061,0.7066894501577188,Terra/LUNA
2022-05-07,35508.7110227937,-0.014934610564379724,0.7971931636503271,0.5891362943420089,Terra/LUNA
2022-05-08,34058.9066861484,-0.0416864722281467,0.918351089012886,0.8831690371581749,Terra/LUNA
2022-05-09,30457.9218194039,-0.11174545648269785,0.9838884669179377,0.9774700431380795,Terra/LUNA
2022-05-10,30990.7351659848,0.017342175609208255,0.9510111167954625,0.8529289248668823,Terra/LUNA
2022-05-11,28796.5568217417,-0.07343246900850531,0.9877344431644111,0.984939291295682,Terra/LUNA
2022-05-12,29030.7070417884,0.008098308101848417,0.9262721811098078,0.7858027489161876,Terra/LUNA
2022-05-13,29285.9346718293,0.008753222138448535,0.8200385688180278,0.6975185264335558,Terra/LUNA
2022-05-14,30051.935755114,0.025819721279615848,0.8487030004853662,0.8829957635181843,Terra/LUNA
2022-05-15,31182.6212460549,0.03693385156866036,0.9249223659021598,0.9578908928951895,Terra/LUNA
2022-05-16,29889.6124757452,-0.04234991708433533,0.9681569973547959,0.9668898050729766,Terra/LUNA
2022-10-25,20094.9611215663,0.03821810391858094,0.09786814178221141,0.24438439034849066,FTX collapse
2022-10-26,20797.0308258328,0.03434113459207744,0.21505887917615155,0.39248559602734767,FTX collapse
2022-10-27,20280.1751280538,-0.025166413568351587,0.28960138988310363,0.37412342725716025,FTX collapse
2022-10-28,20604.6138535944,0.015871210001369818,0.23030506090687958,0.21478678930972347,FTX collapse
2022-10-29,20803.8999205143,0.00962544111795438,0.13369279327728628,0.13021812283880096,FTX collapse
2022-10-30,20616.7033766803,-0.009038874542948605,0.08093724067523919,0.12661045045361924,FTX collapse
2022-10-31,20490.8581808884,-0.006122746480890839,0.044896356028574086,0.1085213946871121,FTX collapse
2022-11-01,20483.966530976,-0.00033638459838769563,0.024091013827366926,0.08914142238633546,FTX collapse
2022-11-02,20148.2845537697,-0.016523308727757424,0.0326952966865869,0.20276029814343338,FTX collapse
2022-11-03,20198.1111860316,0.002469943432586774,0.019300638266093965,0.09648325194409757,FTX collapse
2022-11-04,21157.2449275278,0.04639330220718385,0.1162068870071427,0.6303762105565265,FTX collapse
2022-11-05,21283.4715999416,0.0059483936622903855,0.05860516668228341,0.1689261039095233,FTX collapse
2022-11-06,20946.8030359439,-0.015944755255365095,0.05840062583245382,0.18200564145582573,FTX collapse
2022-11-07,20568.5651183518,-0.018222089810944198,0.06693828147073025,0.195827209903071,FTX collapse
2022-11-08,18520.971163647,-0.10486027871137793,0.3788929166728081,0.8033059629833653,FTX collapse
2022-11-09,15758.2912819988,-0.16153700912626157,0.7853783533042653,0.9713116412999375,FTX collapse
2022-11-10,17541.5602866745,0.10720628153968192,0.9607222466294024,0.995369496359123,FTX collapse
2022-11-11,16916.8506312098,-0.03626273495246579,0.9747864011505442,0.986094626971657,FTX collapse
2022-11-12,16771.2426718293,-0.008644529971919113,0.9103089994939983,0.89778393889112,FTX collapse
2022-11-13,16320.4983375219,-0.027243789516919747,0.9286544763601187,0.9649499627379362,FTX collapse
2022-11-14,16629.4784146698,0.018755044134955767,0.8952730133092506,0.9422896866483181,FTX collapse
2022-11-15,16855.59378609,0.013505648550232507,0.8132214648941233,0.9019100670031645,FTX collapse
