time,xi0,pstay0,xi1,pstay1,h,m,logscore,window
2018-01-31,0.0523310460583754,0.607690437186214,0.9476689539416248,0.9494686474390772,0.0027987465730715823,0.0033010880530157933,2.3253154722232185,0
2018-02-01,0.15612026573808277,0.6862644882068154,0.8438797342619172,0.919339843517494,0.0025329885050178204,0.0030635316139795417,-0.621147774756279,0
2018-02-02,0.0649143814607219,0.6357847453545418,0.9350856185392782,0.9404870601335843,0.0027665322554923603,0.0032722868696308033,1.8426806606475317,0
2018-02-03,0.07466535804366287,0.6315448349736267,0.9253346419563371,0.9419508104039458,0.002741567855934755,0.003249968489347015,1.745283119718896,0
2018-02-04,0.06773753106426218,0.6295934724713281,0.9322624689357377,0.9426107543706326,0.002759304545014744,0.003265825144908782,-0.38974938667356185,0
2018-02-05,0.04426032287685774,0.5763506450913566,0.9557396771231421,0.9577644018179037,0.002819407379029691,0.003319560609851322,-2.6758229098685007,0
2018-02-06,0.02297891194259508,0.46034114209807436,0.9770210880574048,0.9780651308533495,0.0028738838715486525,0.0033682702563330273,-0.7657798040820072,0
2018-02-07,0.018631790798707443,0.42810110766579756,0.9813682092012925,0.9817778951694749,0.002885011117399494,0.003378220101048962,2.1350563840654857,0
2018-02-08,0.028628776426481324,0.4290122057196011,0.9713712235735186,0.9816812318877444,0.0028594217216930456,0.0033553386465572594,0.7176081034099563,0
2018-02-09,0.018250986658574126,0.4212857431768283,0.9817490133414258,0.9824868852496665,0.002885985845304747,0.0033790916990413112,1.4258499565710185,0
2018-02-10,0.02060254528333786,0.44155340669935,0.9793974547166621,0.9803036919302973,0.0028799666380113264,0.003373709368440814,2.130869557593802,0
2018-02-11,0.03105156009906687,0.4412246320590792,0.9689484399009333,0.9803409523596698,0.002853219937644431,0.0033497932935466997,1.2189627270896333,0
2018-02-12,0.023776171158872515,0.46130612324969167,0.9762238288411276,0.977944109337059,0.0028718431203442808,0.003366445461224324,0.06288589707395545,0
2018-02-13,0.020202791249344335,0.44167414874568567,0.9797972087506556,0.9802899921828615,0.0028809898793558785,0.003374624339620855,1.4678126828286102,0
2018-02-14,0.0210772347228941,0.44067922551452304,0.9789227652771058,0.980402624509245,0.002878751584032231,0.003372622882452605,-0.2370544519566384,0
2018-02-15,0.01982742042399106,0.4391075045648946,0.9801725795760091,0.9805793793319679,0.002881950706029398,0.0033754835016500547,1.032807692218978,0
2018-02-16,0.03204248782138681,0.5231624351809515,0.9679575121786133,0.9687175546422955,0.0028506833666966163,0.0033475252231075624,2.304154235939971,0
2018-02-17,0.08897052630724722,0.5836333585811563,0.9110294736927528,0.9559774018977225,0.0027049420357087703,0.003217226313974673,0.35722757659053167,0
2018-02-18,0.03976148009851881,0.5532561695339729,0.9602385199014812,0.962940478584392,0.002830923983512576,0.00332985772041352,1.0045440684087983,0
2018-02-19,0.04114405879987213,0.5623232652193783,0.9588559412001278,0.9609926364879673,0.002827384737686369,0.0033266932253532967,1.0648276377239068,0
2018-02-20,0.03957730666034382,0.556776260758829,0.9604226933396562,0.9621966060553867,0.0028313954452685837,0.0033302792630965938,2.3010967229906893,0
2018-02-21,0.08627104071404573,0.5573548935150137,0.9137289592859543,0.9620728484697322,0.002711853749020076,0.003223404992133442,0.5203746716522173,0
2018-02-22,0.039237711700084506,0.5469987495612759,0.9607622882999157,0.9642255755946258,0.002832264766416445,0.0033310565400596816,1.0588503421818525,0
2018-02-23,0.043373814625267564,0.5716625389254472,0.9566261853747325,0.958873684826974,0.002821676771600624,0.003321589681310516,2.0040854434602764,0
2018-02-24,0.053817002918077686,0.5768993599195503,0.9461829970819223,0.9576325000253306,0.0027949424942958065,0.0032976869423682544,1.3344687181170043,0
2018-02-25,0.05946673480862592,0.6216671748380623,0.940533265191374,0.9452058735491222,0.0027804788583788874,0.003284755636076811,2.2763700566270675,0
2018-02-26,0.13811754864668666,0.6470400635122731,0.8618824513533133,0.936393094209755,0.002579093553848648,0.00310473686996284,0.7275333186890339,0
2018-02-27,0.05932660102281222,0.6170835452879171,0.9406733989771879,0.946646398972758,0.002780837612908961,0.003285076379245026,1.8985329398348865,0
2018-02-28,0.07856381457243443,0.6537851597294952,0.9214361854275658,0.9337850948949619,0.0027315867690319217,0.003241045564080109,1.7170832077119242,0
2018-03-01,0.08849567531014581,0.6700296701519293,0.9115043246898542,0.9269784001271454,0.0027061578410107054,0.0032183131697415086,1.19021095297143,0
