cost_bps,sharpe_Buy&Hold,sharpe_VolTarget (no regime),sharpe_baseline,sharpe_tvtp_logrv,sharpe_tvtp_exflow,sharpe_tvtp_both,sr_diff_tvtp_logrv_minus_baseline
0,0.7074230834493743,0.6570619167410653,0.6046454548274915,0.5248965390691005,0.709223932079402,0.7845888572435419,-0.07974891575839105
10,0.7072363092273015,0.6422120275669592,0.5279170284993799,0.4259494354291727,0.6289513645918848,0.6837292748691424,-0.10196759307020725
25,0.7069557555378477,0.6199363512530282,0.4128206785996675,0.27749156455259416,0.5085238510485462,0.5323599652384475,-0.13532911404707332
50,0.7064871211334706,0.5828086202017236,0.22102327703624508,0.030063592423293616,0.307808645455428,0.27998358462754613,-0.19095968461295146
