time,xi0,pstay0,xi1,pstay1,h,m,logscore,window
2018-01-31,0.054212354644294886,0.6414542517387944,0.945787645355705,0.9489674781491387,0.002848567401694537,0.002998983019082788,2.310045850754399,0
2018-02-01,0.18441902391281195,0.8333684813720919,0.815580976087188,0.9113015440956711,0.002531745857292036,0.0027613504835972036,-0.6043891633075184,0
2018-02-02,0.04556383998773612,0.09187887355643744,0.9544361600122637,0.9552406621023187,0.0028696071454512202,0.003014766914620305,1.8592607884630918,0
2018-02-03,0.04565632923540715,0.10509257461244441,0.9543436707645929,0.9556567673473239,0.0028693821441240605,0.003014598117933064,1.762393234124402,0
2018-02-04,0.06889583165041056,0.7358846917543714,0.9311041683495894,0.9396635222256207,0.002812844913520778,0.002972185068637471,-0.3463536107777001,0
2018-02-05,0.0329030568218804,0.1055789671311872,0.9670969431781195,0.9675141564390123,0.0029004068691536756,0.0030378733654790623,-2.631349406986305,0
2018-02-06,0.019055179872895747,0.19522014639008334,0.9809448201271044,0.9815129355824512,0.002934093197881989,0.0030631463113962453,-0.7375892432148836,0
2018-02-07,0.013213155752702372,0.05028483931943104,0.9867868442472978,0.9868361192903613,0.002948304115560227,0.0030738082460870604,2.1255154325010097,0
2018-02-08,0.030509322025726177,0.6537754010848529,0.969490677974274,0.9807703176349831,0.0029062299568493126,0.0030422420300957515,0.72932050353616,0
2018-02-09,0.014618411832044495,0.14197748824942327,0.9853815881679555,0.9857271816919386,0.0029448858042472395,0.0030712435958505043,1.4297856405579055,0
2018-02-10,0.02514464057106188,0.8607207048752451,0.974855359428938,0.9766673990231018,0.002919280140508951,0.0030520327947570858,2.1249027816109516,0
2018-02-11,0.030773759569348746,0.3941557103090648,0.9692262404306512,0.9815751973200074,0.002905586678187162,0.0030417594206847156,1.2434366143090734,0
2018-02-12,0.033738562412338455,0.9519587028828495,0.9662614375876616,0.9706465944158609,0.0028983743784020822,0.0030363485333564973,0.07399730967057816,0
2018-02-13,0.02114375619257402,0.5590333765410607,0.9788562438074259,0.9801983622796437,0.0029290126114556786,0.003059334573570613,1.484733894191406,0
2018-02-14,0.01952086904338098,0.3558967887378987,0.9804791309566189,0.9819417066418128,0.0029329603837259313,0.003062296409475304,-0.212998167209135,0
2018-02-15,0.021017798062049488,0.6349114425587638,0.9789822019379506,0.9798262951530744,0.0029293190129416656,0.003059564452347866,1.0401381549545545,0
2018-02-16,0.03217455664997854,0.562128980528915,0.9678254433500215,0.9689890363999603,0.0029021790496250935,0.003039202908304506,2.2862576791024796,0
2018-02-17,0.10173197198357244,0.7134100582700551,0.8982680280164277,0.9538196388504094,0.002732954779367351,0.002912257759792498,0.3631864816726903,0
2018-02-18,0.03992739079194689,0.5119450090151381,0.960072609208053,0.9642056724273615,0.002883318994492097,0.0030250536666050973,1.0333641887719602,0
2018-02-19,0.04086705234482172,0.5503210114844173,0.9591329476551785,0.9617852346242302,0.0028810330846827303,0.0030233387455602515,1.0731742279507155,0
2018-02-20,0.044383172896038325,0.770621918002154,0.9556168271039618,0.9589004274805074,0.002872479384183688,0.0030169216807021102,2.290017268389009,0
2018-02-21,0.07263245161037205,0.39865096811505035,0.9273675483896282,0.965075388784613,0.002803754101547968,0.002965365583274548,0.5711913789652611,0
2018-02-22,0.03317186503657164,0.282827227373096,0.9668281349634283,0.9687190497301956,0.002899752953976294,0.00303738277941327,1.0921519743800967,0
2018-02-23,0.038200936693902995,0.3412874410943176,0.961799063306097,0.9631581440598808,0.0028875189151335474,0.003028204516458046,1.9949504409207817,0
2018-02-24,0.0477866400470567,0.43775203387264133,0.9522133599529434,0.9604656541150889,0.002864199658260007,0.003010710212940267,1.3612287336925266,0
2018-02-25,0.05676678465274934,0.5272186458744661,0.9432332153472506,0.9473692302220419,0.0028423529961799196,0.0029943210790835573,2.258392171506724,0
2018-02-26,0.12114582038954666,0.5589569823205643,0.8788541796104533,0.9383887792627976,0.0026857176230003386,0.0028768266866672754,0.7598778111574271,0
2018-02-27,0.05602920837436294,0.4911015421052071,0.943970791625637,0.949455072360555,0.002844147372803392,0.002995667186177239,1.8918433657537874,0
2018-02-28,0.08481278476068341,0.7464223967458431,0.9151872152393168,0.9303538066751398,0.002774119958246077,0.0029431359734870604,1.7232678507445445,0
