model,K,n_params,loglik,aic,bic,mu1,sigma1_ann%,se_mu1,se_sigma1_ann%,nu1,se_nu1,mu2,sigma2_ann%,se_mu2,se_sigma2_ann%,nu2,se_nu2,beta1_0,beta2_0,se_beta1_0,se_beta2_0,p11_at_mean_z,p22_at_mean_z,dur1_at_mean_z,dur2_at_mean_z,beta1_logrv10,beta2_logrv10,se_beta1_logrv10,se_beta2_logrv10,lr_stat,lr_p,beta1_exflow30,beta2_exflow30,se_beta1_exflow30,se_beta2_exflow30
HMM K=2,2,8,9537.921143712107,-19059.842287424213,-19008.556519848968,0.0008913101458084237,51.31166747023448,0.0003415710813723977,1.87005792166429,2.6542434720376855,0.19891818399317307,0.0015994035451213956,94.24532672121148,0.0010342149486617825,4.253489115946028,4.120388330897171,0.47602003657355957,4.098104836609363,3.7212311607630113,0.26240706492162685,0.2530402588400452,0.9836670805323993,0.9763678459150351,61.22604118532995,42.315228497778556,,,,,,,,,,
TVTP logrv,2,10,9553.21902956871,-19086.43805913742,-19022.330849668364,0.0008275658369964998,37.63334604329017,0.0003511924750268013,1.9927462178141702,3.057984390994354,0.3980308441002669,0.0017350154734942214,92.09339021217552,0.00106900477245533,4.901262087210721,5.24510579125395,0.7672575056981783,0.8236334045755507,0.2907555939230746,0.2898627341059742,0.35864234883145596,0.695007066271727,0.5721811047628987,3.2787644873468738,2.3374376661082037,-1.0473489074559308,1.516925710041302,0.2488457188977129,0.31294897654789017,30.595771713207796,2.2709762255500486e-07,,,,
TVTP exflow,2,10,9541.56803423206,-19063.13606846412,-18999.02885899506,0.0009063147337680196,51.82286941796592,0.0003415295163792632,1.9037277781969624,2.6468725410247513,0.19668255401745713,0.001563012444436314,94.47612262312504,0.001059183005624682,4.479780119114192,4.202330041968711,0.514906361624696,4.161692620874422,3.725002241441948,0.27614214348172345,0.26620086935440634,0.9846578853954786,0.9764547024725192,65.18006322969946,42.47132570029552,,,,,7.293781039905298,0.02607207345781299,-0.5031656466495852,0.4235781465745373,0.1929274463584213,0.1806639100152802
TVTP both,2,12,9558.0219547838,-19092.0439095676,-19015.115258204733,0.0007980476116596965,37.488773993113774,0.0003506234500679135,2.021504461394591,3.037321332148398,0.4227233146142176,0.0017736653854092575,91.88019772815201,0.0010600912348288736,4.729011573501958,5.220174956726453,0.7418335170120043,0.7576609418730519,0.2668110052432593,0.2944010028431735,0.35158843795517525,0.6808456836718151,0.5663098445227543,3.133280513028389,2.305793634857978,-1.0531117861763561,1.522924370076115,0.23866291206867435,0.309305700391191,40.201622143387794,3.932129558127581e-08,-0.13527561940715482,0.40851920788740825,0.3439883217163052,0.29907704969272575
