,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.09531108497786243,0.1484106196810912,0.6422120275669592,0.87017546457933,-0.2737561249910203,2.0153754856825232,0.5176276771004943,3035.0,0.3481605570687736,2.2018361415629997
baseline,0.1715810387772908,0.32763776139764056,0.5236912804108984,0.6259059595410672,-0.6149694016279736,2.660120031828616,0.5163097199341021,3035.0,0.27900744057033416,9.556360519876542
tvtp_logrv,0.1996098402910132,0.3587912440782556,0.556339775804218,0.7005130880547086,-0.6153652940843406,3.0823576344510313,0.5169686985172982,3035.0,0.32437617494829846,11.208571858492594
tvtp_exflow,0.14403743185787718,0.3073146227782701,0.46869696780358316,0.5533947710861802,-0.571987405675378,2.2314454182316004,0.5166392092257002,3035.0,0.25181923662777855,11.894909796447118
tvtp_both,0.19843528806514243,0.33868480950511676,0.5858995812510585,0.7300174836778983,-0.6116094443617903,3.2319046452133815,0.5163097199341021,3035.0,0.3244477172392393,12.208433550877315
