event,date,p_turb_smoothed_pre10d,p_turb_smoothed_event,p_turb_filtered_event,p_turb_smoothed_max_pm10d,first_day_filtered_gt_0.5,model
COVID crash,2020-03-12,0.8849005032189909,0.9896245107963978,0.6517789448161058,0.9997646995690515,2020-03-02,HMM K=2
Terra/LUNA,2022-05-09,0.8725741223846535,0.9985868346658904,0.9838884669179377,0.9987941720608139,2022-04-30,HMM K=2
FTX collapse,2022-11-08,0.05286118232804732,0.8526442590857451,0.3788929166728081,0.874158034541391,2022-11-09,HMM K=2
COVID crash,2020-03-12,0.705171606748195,0.7688641193720557,0.7559045549921071,0.9996119369496069,2020-03-02,TVTP logrv
Terra/LUNA,2022-05-09,0.6075283437276651,0.9781890328765769,0.9774700431380795,0.984928826006825,2022-04-29,TVTP logrv
FTX collapse,2022-11-08,0.11523812236019654,0.8681244804881053,0.8033059629833653,0.9960451925095443,2022-11-04,TVTP logrv
