,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.09531108497786243,0.1484106196810912,0.6422120275669592,0.87017546457933,-0.2737561249910203,2.0153754856825232,0.5176276771004943,3035.0,0.3481605570687736,2.2018361415629997
baseline,0.05387904741343598,0.1020596883691909,0.5279170284993799,0.6345813083449356,-0.2109844790818456,1.4987827273184509,0.5136738056013179,3035.0,0.2553697203126259,7.828235564537526
tvtp_logrv,0.0423679165885403,0.09946700961312878,0.4259494354291727,0.5261899789784031,-0.2295783847428876,1.3651369567794125,0.5120263591433278,3035.0,0.18454662722707768,9.844218563470147
tvtp_exflow,0.06753355951598519,0.10737485172610521,0.6289513645918848,0.7732806800616014,-0.17324604059613558,1.6712524458768279,0.5113673805601318,3035.0,0.3898130040005751,8.618319215605988
tvtp_both,0.06986322156994078,0.10217965521998712,0.6837292748691424,0.8812502401694084,-0.22913541703638263,1.7120237235188074,0.5107084019769358,3035.0,0.3048992708047737,10.312760766245523
