model,mean_qlike,mean_mse_x1e6,mean_logscore,dm_qlike,p_qlike,dm_mse,p_mse,dm_logscore,p_logscore
baseline,-5.70917154526262,24.269050868434963,2.139508033014087,,,,,,
tvtp_logrv,-5.725440588256711,25.076786350202255,2.138126179912255,-0.8057873706687007,0.42042860942910976,2.114403774893258,0.03456215472195092,0.526802200464861,0.598369466528019
tvtp_exflow,-5.669814691293741,26.37777345909748,2.1379976966076932,3.280309489244271,0.0010486562310405307,4.9996304986942715,6.07027865198534e-07,0.9163847790454048,0.359537947137276
tvtp_both,-5.7320483264187025,25.05798317526882,2.137670457538513,-1.0605919503322183,0.288959802467189,2.0583784711969084,0.03963903230273026,0.6474916395102924,0.5173627920227885
rolling RV10 (ref),-5.500666302881036,23.925744165540962,,1.9611645004386726,0.04995117371526748,-0.23492932618308474,0.814279441135219,,
EWMA(0.94) (ref),-5.8250176861186915,22.535723095850617,,-1.5717507192100861,0.1161126459168608,-3.1670711140575487,0.0015551119718607588,,
