time,close,y,p_turb_filtered_hmm,p_turb_filtered_tvtp,event
2020-02-27,8779.02948188194,-0.0022595935024440905,0.5661736448866633,0.26273356983752216,COVID crash
2020-02-28,8750.59344599649,-0.003244343696954033,0.24880749985612768,0.18854271529633704,COVID crash
2020-02-29,8582.09029964933,-0.019444011973332564,0.18816090509236869,0.2857673697985596,COVID crash
2020-03-01,8541.77389392169,-0.004708806349551509,0.09300189607833072,0.12712693425195015,COVID crash
2020-03-02,8906.21475645821,0.04178061814508638,0.41151896418669087,0.7506819178772982,COVID crash
2020-03-03,8768.81061420222,-0.015548142921904429,0.23917020239222403,0.25540650335516457,COVID crash
2020-03-04,8756.36957218001,-0.0014197907216679795,0.10629631872837489,0.14420762270648563,COVID crash
2020-03-05,9062.61580274693,0.03437641168537908,0.2512557349412797,0.5427083247275719,COVID crash
2020-03-06,9147.08505897136,0.009277457409027079,0.11837104813156059,0.16186290569691186,COVID crash
2020-03-07,8898.30695675044,-0.027574226678773073,0.19944514746983222,0.39615230372092425,COVID crash
2020-03-08,8109.61454114553,-0.09281069090108218,0.9999802148654365,0.9999995517113581,COVID crash
2020-03-09,7896.38531987142,-0.02664523784612527,0.8141659577580478,0.6035465696165222,COVID crash
2020-03-10,7909.92787545295,0.0017135632741069884,0.40169503530208656,0.2250060762858612,COVID crash
2020-03-11,7939.34133477499,0.003711652909601071,0.16714652593047355,0.1891705708794186,COVID crash
2020-03-12,4959.31341437756,-0.4705630098654261,1.0,1.0,COVID crash
2020-03-13,5627.69238836938,0.12643217376223248,0.9999999999292758,0.9999999999999901,COVID crash
2020-03-14,5145.17250642899,-0.08964058272657383,0.9999965041159562,0.9999999862536862,COVID crash
2020-03-15,5358.61066335476,0.04064583921511655,0.9295022102405339,0.9946346488297825,COVID crash
2020-03-16,5012.92738778492,-0.06668468349151979,0.9989592154355318,0.9999850676076831,COVID crash
2020-03-17,5416.7547106955,0.07747682086390384,0.9998550967334697,0.9999985231855919,COVID crash
2020-03-18,5392.48783594389,-0.004490030715103899,0.5897684272965972,0.9129833770266333,COVID crash
2020-03-19,6203.5516320865,0.1401151283808595,0.9999999999986302,1.0,COVID crash
2022-04-25,40473.7483176505,0.024058118137565643,0.09761529340232307,0.12300620862598625,Terra/LUNA
2022-04-26,38072.800873758,-0.06115343489356562,0.9548892751353995,0.9905061447910308,Terra/LUNA
2022-04-27,39218.5376174752,0.029649394054658273,0.7836748315638917,0.42505714444668047,Terra/LUNA
2022-04-28,39747.9894270018,0.013409725948136497,0.42911125166987657,0.15850466338163174,Terra/LUNA
2022-04-29,38609.5059070719,-0.029060746193694698,0.46082478108564884,0.4131993125344815,Terra/LUNA
2022-04-30,37714.0949804208,-0.023464616433740204,0.3723134996762028,0.3143971309583717,Terra/LUNA
2022-05-01,38459.226979135,0.019564743871288925,0.22821966839321384,0.2172303685239364,Terra/LUNA
2022-05-02,38566.0628877849,0.0027740493374608377,0.10169117522646891,0.12202057616602151,Terra/LUNA
2022-05-03,37704.4053153127,-0.02259575045725981,0.13462913799572612,0.2781273233047137,Terra/LUNA
2022-05-04,39641.852176505,0.050108493814892796,0.7182305715489732,0.9339845164364473,Terra/LUNA
2022-05-05,36502.0245601403,-0.08251770685597926,0.9999395643744419,0.9999945349934954,Terra/LUNA
2022-05-06,36042.9995584453,-0.012655068582748896,0.6468437715466195,0.38950440416423293,Terra/LUNA
2022-05-07,35508.7110227937,-0.014934610564379724,0.37512940417236257,0.28700490173537496,Terra/LUNA
2022-05-08,34058.9066861484,-0.0416864722281467,0.7415678476928157,0.8842911551599092,Terra/LUNA
2022-05-09,30457.9218194039,-0.11174545648269785,0.999999988638913,0.9999999999363146,Terra/LUNA
2022-05-10,30990.7351659848,0.017342175609208255,0.6646526725115522,0.5396031208108628,Terra/LUNA
2022-05-11,28796.5568217417,-0.07343246900850531,0.9994041994073859,0.9999560587516861,Terra/LUNA
2022-05-12,29030.7070417884,0.008098308101848417,0.5923895497514646,0.48596943144055477,Terra/LUNA
2022-05-13,29285.9346718293,0.008753222138448535,0.27202914034471953,0.3861576321966433,Terra/LUNA
2022-05-14,30051.935755114,0.025819721279615848,0.24055324683298723,0.6220747633897883,Terra/LUNA
2022-05-15,31182.6212460549,0.03693385156866036,0.4309438077819716,0.870355509915486,Terra/LUNA
2022-05-16,29889.6124757452,-0.04234991708433533,0.7869514030487302,0.9565076486428133,Terra/LUNA
2022-10-25,20094.9611215663,0.03821810391858094,0.28872589854798714,0.2762793629698368,FTX collapse
2022-10-26,20797.0308258328,0.03434113459207744,0.4078507100723592,0.3073739215898921,FTX collapse
2022-10-27,20280.1751280538,-0.025166413568351587,0.36617951424794853,0.22271719431107845,FTX collapse
2022-10-28,20604.6138535944,0.015871210001369818,0.19550805147385786,0.10845317082039664,FTX collapse
2022-10-29,20803.8999205143,0.00962544111795438,0.09919291016965713,0.08496468067552122,FTX collapse
2022-10-30,20616.7033766803,-0.009038874542948605,0.07145331283171222,0.08985159234024423,FTX collapse
2022-10-31,20490.8581808884,-0.006122746480890839,0.05796666995454635,0.08295457642320386,FTX collapse
2022-11-01,20483.966530976,-0.00033638459838769563,0.049983600046355034,0.07529065744537886,FTX collapse
2022-11-02,20148.2845537697,-0.016523308727757424,0.07449391216352426,0.12947333969800626,FTX collapse
2022-11-03,20198.1111860316,0.002469943432586774,0.054436218907168314,0.0747659614966498,FTX collapse
2022-11-04,21157.2449275278,0.04639330220718385,0.5028040424637223,0.7953108687671383,FTX collapse
2022-11-05,21283.4715999416,0.0059483936622903855,0.2161165457327309,0.09818299588131753,FTX collapse
2022-11-06,20946.8030359439,-0.015944755255365095,0.14443216155904126,0.11094579029327285,FTX collapse
2022-11-07,20568.5651183518,-0.018222089810944198,0.1252219617813928,0.11773479915737237,FTX collapse
2022-11-08,18520.971163647,-0.10486027871137793,0.9999992373440942,0.9999999940332618,FTX collapse
