time,Buy&Hold,VolTarget (no regime),baseline,tvtp_logrv,tvtp_exflow,tvtp_both
2018-01-31,0.008091687042716678,0.0015315121350919835,0.0017721362430318341,0.002203602172428402,0.0016904102427607042,0.0020769460063966884
2018-02-01,-0.1005195117019998,-0.021640401192185105,-0.032175789424184004,-0.03659004349679021,-0.03183737292024639,-0.037764284302635384
2018-02-02,-0.028074279106937716,-0.0053393732131551495,-0.006248556380163698,-0.008056261208137523,-0.005759997047634009,-0.007171631338543856
2018-02-03,0.03938309753828673,0.007708855694692795,0.00956851268647526,0.011552429825715234,0.008605198007053068,0.009925979779984728
2018-02-04,-0.09653567035434252,-0.018864782629986383,-0.023336258055203667,-0.0277109135728019,-0.021997795194032936,-0.026500954299719274
2018-02-05,-0.16980543840539686,-0.032145187430952495,-0.03721129409608633,-0.044393179836186354,-0.03436229696699384,-0.03962356341598919
2018-02-06,0.12980449316876475,0.024568072799445232,0.02842809479940336,0.030260459550570936,0.026680391234737057,0.02753274265140898
2018-02-07,-0.01473753938399991,-0.002789371397363241,-0.003227624534218961,-0.003365345009433991,-0.002983444216094373,-0.003027775470912947
2018-02-08,0.0779038666258618,0.01613659585975492,0.022366850274541664,0.01818092150369784,0.021032637238429304,0.017085487033382907
2018-02-09,0.05376507501474981,0.010158944752518386,0.011709347241886487,0.012195725526841983,0.010966085500831616,0.011073675444104973
2018-02-10,-0.015029312673481399,-0.002852747051356776,-0.003321222153595559,-0.0034627594681209306,-0.003284143628349744,-0.0032820951945506413
2018-02-11,-0.050826429223090996,-0.01059201723554471,-0.014843382225892137,-0.011999189480810576,-0.015121283576019169,-0.011128984338692794
2018-02-12,0.10015671140642812,0.01902278277344023,0.02217295004674298,0.02338908093193641,0.022333031695544386,0.022537136906901747
2018-02-13,-0.043075601083953696,-0.008153751503197398,-0.009436922866535708,-0.009917080151673568,-0.009084007356130214,-0.009203041526173237
2018-02-14,0.11066843740168464,0.021052752527540766,0.024625829246460604,0.025469421472540537,0.02346313256528973,0.02339804004341229
2018-02-15,0.06754111321029299,0.01278252264883766,0.01478843398525609,0.015515665184373348,0.014292084210102828,0.014434568836645874
2018-02-16,0.008171127018323565,0.0015468769253728894,0.0017907319747944499,0.0019968692368905047,0.0017096809065428025,0.001857116234676318
2018-02-17,0.08796291022068936,0.01893807733081989,0.02817253404134481,0.02524826723418692,0.027926147072891684,0.02462193795815922
2018-02-18,-0.05714679654547705,-0.010842611502464362,-0.012618428537985527,-0.014566088520846607,-0.012010578865064049,-0.01353198194738086
2018-02-19,0.06575370316864504,0.012449933877132715,0.014417779331616302,0.016893455672096266,0.01372955570672024,0.0157305720832947
2018-02-20,0.009567571945238162,0.0018114676001172417,0.002097603214870471,0.0024412606206739686,0.0020247478504041372,0.0023155829537065743
2018-02-21,-0.06998683673829753,-0.015068896103831537,-0.022407723966483762,-0.019486997608326506,-0.022145557320033933,-0.01783627351810819
2018-02-22,-0.055522864209536116,-0.010535280843062367,-0.012262562853578452,-0.014048634311959388,-0.011529250556272632,-0.012818171101843403
2018-02-23,0.028437148198619644,0.005385127548700072,0.006238247087095671,0.00738139090983904,0.005867122409119267,0.00676382561001334
2018-02-24,-0.046506622811095744,-0.009284048120680507,-0.011984898302864958,-0.012644418713247776,-0.011308666971940537,-0.011620224901433157
2018-02-25,-0.008607177661339893,-0.0016484404595395487,-0.001956567817936298,-0.002402808630011055,-0.0018519746975023152,-0.0022467226224212864
2018-02-26,0.07384374026298457,0.015885848220745777,0.02359949013943141,0.024326418876802654,0.022440112203578565,0.022537053323142316
2018-02-27,0.03313900915980805,0.0062478901432345265,0.007162588393000087,0.00909435714612386,0.006768543001504002,0.00845878264374026
2018-02-28,-0.03257732617639886,-0.006392000151395011,-0.007971863248698563,-0.009940528641915488,-0.007664613197486273,-0.00964318186104829
2018-03-01,0.05982384804473151,0.011750789091545547,0.014688159762599592,0.018607502821847276,0.014164436120373733,0.018056932321210795
2018-03-02,0.008278163793534965,0.0015628450826286262,0.0017980815616451173,0.0025170659679773976,0.0016690796718621932,0.002286174401473378
2018-03-03,0.03737242719487788,0.008057911246551317,0.012022176960331286,0.013535934214021139,0.011089075319949413,0.012422425395316157
2018-03-04,0.00322979728647943,0.0006603738376404745,0.0008920047513853326,0.001086708534541657,0.0008622660423972067,0.0011025414190695053
2018-03-05,0.006811651586897005,0.001714203890390557,0.0033148231655061346,0.0029397974295506096,0.003218518103367882,0.0029464267205238192
2018-03-06,-0.07483340779966907,-0.025141574437661376,-0.07174730382488864,-0.03567851661821423,-0.07105912928199011,-0.035331935841929334
2018-03-07,-0.07248736798471034,-0.01386737941593959,-0.016616578579146564,-0.023815686262703677,-0.015821114063106784,-0.02304815381698667
2018-03-08,-0.057821334796573254,-0.010943964524356148,-0.012663754674967026,-0.017301678578633094,-0.012020462980206792,-0.01643567491331637
2018-03-09,-0.0056091748829203425,-0.0010620649383160932,-0.0012299675737141378,-0.001717545945646155,-0.001228500864987709,-0.0018214160425061192
2018-03-10,-0.05298247326118122,-0.011404098264221426,-0.016947117753851784,-0.019692583423388137,-0.017825039302910847,-0.019806682241573136
2018-03-11,0.08273715101383283,0.015693476137221284,0.018237256052640042,0.024899730972193085,0.017619829659613326,0.02446232322679233
2018-03-12,-0.03843421018636828,-0.007275216734729631,-0.008420207067733996,-0.011186537983042328,-0.00797533593916655,-0.01052789417353873
2018-03-13,0.001383133371946954,0.000262526913235186,0.00030562734664555617,0.0003981480409188418,0.00029059049341988527,0.00038027332622165487
2018-03-14,-0.10244105623778343,-0.022779672303471738,-0.03584012442899759,-0.034858706449881954,-0.03552016895562113,-0.033946788513423004
2018-03-15,0.005650834881381073,0.0010367350451976167,0.001107915344966051,0.0014150238838873924,0.0010272966156219291,0.0012845950986308777
2018-03-16,0.013099620043959481,0.0028075649287936134,0.004148491602108204,0.0038143442105377746,0.0038699337612555173,0.0034026168720639573
2018-03-17,-0.059119998065631396,-0.015783875339343025,-0.033068586544429346,-0.018479339244892107,-0.031686716316121105,-0.018037497305909717
2018-03-18,0.03899619163513979,0.007328011039942242,0.008291739963675628,0.01086867641303875,0.007939090357706742,0.010343249634200661
2018-03-19,0.042495810679561874,0.008206318557319278,0.009906541589272337,0.01232919144013168,0.00905326672533874,0.010556842837986722
2018-03-20,0.04199729409372832,0.00809603147179126,0.009738232261398931,0.011917060586722528,0.008959813358523557,0.010673886551320566
2018-03-21,-0.001793360457615134,-0.00034601199679903276,-0.00041694032724526054,-0.0005190109324534886,-0.00040201165218277824,-0.0005083654004948608
2018-03-22,-0.01902444149678928,-0.004326953382818342,-0.007063955754229283,-0.00696856084425809,-0.006746392253893671,-0.006552036918871988
2018-03-23,0.0070122532348890765,0.0017405389445145586,0.0032792629623786254,0.0025408532199278013,0.0032344679199414897,0.0026191538604767818
2018-03-24,-0.018326773392858264,-0.006055040546997029,-0.016874373058027893,-0.007116902067216112,-0.017254567769160237,-0.0072449944070310975
2018-03-25,-0.019786066777466527,-0.0069506071589379844,-0.019887872410912277,-0.010722685111896172,-0.019868444365886802,-0.01110169801873347
2018-03-26,-0.03192026863466979,-0.011498043490010232,-0.03192026863466979,-0.017604933356956138,-0.03192026863466979,-0.019257579731317313
2018-03-27,-0.04086543891088412,-0.011961319861345642,-0.028452948342568604,-0.01874479999029179,-0.030101277491981444,-0.019610654375839406
2018-03-28,0.012297326472763936,0.002519578083814211,0.0033548634508048427,0.0055945713077673554,0.003347099465799102,0.005906683483455073
2018-03-29,-0.10399660591413529,-0.026966455176449612,-0.05415171853842694,-0.07065720678675119,-0.05627506531528111,-0.0727333307821766
2018-03-30,-0.038885699276670294,-0.007429464177277311,-0.008815877493930436,-0.013132664103890038,-0.008201819457585817,-0.01193073826028821
2018-03-31,0.013192368856680181,0.0025190078312311696,0.0029699743157637144,0.004410949498035446,0.0027548165748758646,0.0040362893835799735
2018-04-01,-0.017011215312030648,-0.003710900866089199,-0.005642224827393188,-0.006915729033837985,-0.005329605588092056,-0.007507102099741639
2018-04-02,0.033615092064719354,0.00825654219088549,0.015287323987383148,0.013455266967108095,0.014492896233172896,0.01310013691208353
