model,K,n_params,loglik,aic,bic,mu1,sigma1_ann%,se_mu1,se_sigma1_ann%,mu2,sigma2_ann%,se_mu2,se_sigma2_ann%,beta1_0,beta2_0,se_beta1_0,se_beta2_0,p11_at_mean_z,p22_at_mean_z,dur1_at_mean_z,dur2_at_mean_z,beta1_logrv10,beta2_logrv10,se_beta1_logrv10,se_beta2_logrv10,lr_stat,lr_p,beta1_exflow30,beta2_exflow30,se_beta1_exflow30,se_beta2_exflow30,mu3,sigma3_ann%,se_mu3,se_sigma3_ann%
HMM K=2,2,6,9364.167852340699,-18716.335704681398,-18677.871378999964,0.0013488105841630521,33.3541895875959,0.0003866488433970622,1.0618134284908158,0.0003841597290336587,105.49063865532557,0.0014506638528382699,2.806254858594674,2.1874494935694195,1.463091832014088,0.1655644208704774,0.18399108497658132,0.8991167961369564,0.8120051070046835,9.91245283365082,5.319293434342991,,,,,,,,,,,,,,
TVTP logrv,2,8,9463.320697362404,-18910.641394724807,-18859.35562714956,0.0012326280334932734,29.555107021406684,0.0003749601545690106,1.0338091922839772,0.0006435642841850169,104.62603692573109,0.0014006733495833088,2.69521789011127,0.8552180027524225,-0.513758521127394,0.12850425459874787,0.22028670725218502,0.7016605907930545,0.37431285458935354,3.351887042540673,1.5982428396282413,-0.9140274255112794,1.250650832305909,0.11963011058818741,0.22444019945547541,198.3056900434094,8.678937124094344e-44,,,,,,,,
TVTP exflow,2,8,9367.02068761739,-18718.04137523478,-18666.755607659536,0.0013573162959292706,33.44566596614748,0.00038747251956228673,1.0710046581834467,0.00037317946540473196,105.52153088490195,0.0014527214943272863,2.8090859519909266,2.18559563338275,1.4481755220320536,0.1674873083561707,0.18437027008614884,0.8989485158335403,0.8097174862319956,9.895945697865494,5.255343647704889,,,,,5.705670553383243,0.05768054849982918,-0.20450346396383867,0.17263194946232535,0.14282029905585059,0.11725929640737372,,,,
TVTP both,2,10,9466.94929853297,-18913.89859706594,-18849.791387596884,0.001215384253874443,29.600239610393896,0.0003752089403187772,1.0330862250848096,0.0006733539923910045,104.55314392861408,0.001398620136032133,2.6806340999545037,0.8403655540447242,-0.5636669344313222,0.13027566304709384,0.22555170638811353,0.6985422003233934,0.36269942712124814,3.317213888885161,1.5691183133303925,-0.9111405726347794,1.3041215519661704,0.11993189734568348,0.2289498406816279,205.56289238454337,2.3916894892795424e-43,-0.23935868935396903,0.10400317203088635,0.13422570657044536,0.11510422498095686,,,,
HMM K=3,3,12,9498.578989402065,-18973.15797880413,-18896.229327441262,0.00043605125167117063,17.74702662019806,0.000384334200341839,1.1448910051651293,0.0024356945765237866,57.37039376685983,0.0008003323596245468,2.5255598959271564,,,,,,,,,,,,,,,,,,,-0.0012309648444301996,118.400734621387,0.0022139415346599813,4.177904673532725
TVTP logrv K=3,3,18,9580.388522795442,-19124.777045590883,-19009.38406854658,0.0005074790249988511,15.474257474964126,0.0003898371947229198,1.1236583117792267,0.001872604684965563,48.996242974437656,0.0006607313127818448,2.212513951133897,,,,,,,,,,,,,163.61906678675223,1.0133631021449561e-32,,,,,-0.0006987900464203691,127.36497879056851,0.0024501334087640115,4.7256808682181966
