,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.10707341584454863,0.18247522331799776,0.5867833117154367,0.7873223627248152,-0.31589239601810615,2.120070132580865,0.515650741350906,3035.0,0.3389553442698616,10.219680157387074
baseline,0.04605219786168305,0.11726578218784024,0.3927164173766828,0.4948040746717886,-0.2513676506189755,1.3849764279644792,0.5051070840197693,3035.0,0.18320654128835867,16.54706732580323
tvtp_logrv,0.06968128267697943,0.11337126081957508,0.6146291588648187,0.8071002374950792,-0.2484933832950974,1.6921450450206903,0.5153212520593081,3035.0,0.2804150426582171,9.172474916664903
tvtp_exflow,0.04616021681069018,0.11766562276963044,0.39229994049378497,0.5020235580204179,-0.2716437948289153,1.3857994584193165,0.5044481054365733,3035.0,0.16992921498450742,18.13757997744723
tvtp_both,0.06780402374459006,0.11373070442900649,0.5961804605449798,0.7891858013636681,-0.2504295481157769,1.6654691554749983,0.5136738056013179,3035.0,0.27075089283491166,12.321587615140325
