event,date,p_turb_smoothed_pre10d,p_turb_smoothed_event,p_turb_filtered_event,p_turb_smoothed_max_pm10d,first_day_filtered_gt_0.5,model
COVID crash,2020-03-12,0.24984330673938268,1.0000000000000075,1.0,1.0000000000000075,2020-03-08,HMM K=2
Terra/LUNA,2022-05-09,0.34955506555899446,0.9999999954216777,0.999999988638913,0.9999999954216777,2022-05-04,HMM K=2
FTX collapse,2022-11-08,0.03317692714148363,0.9999999052478583,0.9999992373440942,0.9999999999999996,2022-11-04,HMM K=2
COVID crash,2020-03-12,0.7374628019074639,1.0000000000000018,1.0,1.0000000000000018,2020-03-02,TVTP logrv
Terra/LUNA,2022-05-09,0.4106585248692387,0.9999999999304561,0.9999999999363146,0.9999999999304561,2022-05-04,TVTP logrv
FTX collapse,2022-11-08,0.08292422370533906,0.9999999954776697,0.9999999940332618,1.000000000000003,2022-11-04,TVTP logrv
