tvtp_logrv vs,dm_qlike,p_qlike,dm_mse,p_mse
rolling RV10,-4.371593226749932,1.2748781666018193e-05,-1.3187577672917048,0.18734963836360688
EWMA(0.94),-1.2194097610101098,0.22278349538892672,-1.002214646495938,0.3163198582843281
baseline HMM,-2.2713402723853746,0.023196143882803357,-2.545323401762218,0.010966747303910479
