window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
2,tvtp_exflow,2014-08-02,2018-08-01,2018-10-30,2936.446804380873,-5856.893608761746,-5814.604075044127,8,True,0.002549321859794735,0.016661631220971976,0.0007701970374355201,0.05599464702048261,2.5554664633236586,2.3230594406987426,-0.38143249475859464,0.09704466157621153,1.8512362055262201,0.39628639764121626,,
2,tvtp_both,2014-08-02,2018-08-01,2018-10-30,2974.817454103174,-5929.634908206348,-5876.772991059324,10,True,0.002372401726977215,0.014459978410020996,0.0009816248764591448,0.056910673403888085,0.6755036151149648,-0.14611109673689188,-1.2467535735397803,1.6046213407592131,78.59253565012841,3.460290405263869e-16,-0.3301383435310819,0.10342945095787151
3,baseline,2014-11-01,2018-10-31,2019-01-29,2966.5035894135062,-5921.0071788270125,-5889.290028538798,6,True,0.0027926543108483717,0.01666089468139875,0.0009214749338072425,0.05685575496608408,2.603746867382086,2.258138738788194,,,,,,
3,tvtp_logrv,2014-11-01,2018-10-31,2019-01-29,3006.3490409613914,-5996.698081922783,-5954.408548205164,8,True,0.002651910838437108,0.01416522663217586,0.00115485152705666,0.057082049822465224,0.767059156996346,-0.2539573375531143,-1.1680541964992999,1.7585217228191374,79.69090309577041,4.9583852138564275e-18,,
3,tvtp_exflow,2014-11-01,2018-10-31,2019-01-29,2967.4018003192596,-5918.803600638519,-5876.5140669209,8,True,0.0028664702227425747,0.016767691157542723,0.0008115545120851746,0.05692229145323641,2.6349484244481007,2.260238572917315,-0.3852153946070086,0.09109889797650508,1.7964218115066615,0.40729770225385065,,
3,tvtp_both,2014-11-01,2018-10-31,2019-01-29,3007.7340500366604,-5995.468100073321,-5942.606182926297,10,True,0.0027000908279793154,0.014319127225394723,0.0010714575871372926,0.05736097377794741,0.7694861862507936,-0.3460280419963729,-1.1825837049750774,1.8093509026574164,82.46092124630832,5.2416049212404797e-17,-0.16645153025112305,0.15799624098266205
4,baseline,2015-01-31,2019-01-30,2019-04-30,2988.862038841915,-5965.72407768383,-5934.006927395615,6,True,0.0025913182888120914,0.01573607297642276,0.0009326099178432331,0.05452025383552319,2.537763286568879,2.2990153302012613,,,,,,
4,tvtp_logrv,2015-01-31,2019-01-30,2019-04-30,3037.7787195152173,-6059.557439030435,-6017.267905312816,8,True,0.0023454274465320563,0.012776391635745872,0.0012727743839677306,0.05464088139675437,0.5800663396988213,-0.17499273018945374,-1.1318761855975135,1.780540216441218,97.83336134660476,5.698433842240611e-22,,
4,tvtp_exflow,2015-01-31,2019-01-30,2019-04-30,2989.9462529986845,-5963.892505997369,-5921.60297227975,8,True,0.0026868124559726145,0.01584705758847867,0.0008129704426468277,0.054508565535702255,2.565002560015028,2.3220539842593126,-0.30637794972425364,0.17534498083354103,2.1684283135391524,0.3381674280885958,,
4,tvtp_both,2015-01-31,2019-01-30,2019-04-30,3040.388786527547,-6060.777573055094,-6007.91565590807,10,True,0.0024712889176903316,0.013010703670475458,0.0011010239585505968,0.055067364126885225,0.5558448702201745,-0.31006283769398374,-1.191839063930185,1.8206659436396844,103.05349537126403,2.200889918157155e-21,-0.24488927479324385,0.20175815999879484
5,baseline,2015-05-02,2019-05-01,2019-07-30,3035.3231637975373,-6058.646327595075,-6026.92917730686,6,True,0.002419444755786341,0.013816601279190599,0.001806018623561442,0.05408158190350379,2.2730579488786105,2.103781012949425,,,,,,
5,tvtp_logrv,2015-05-02,2019-05-01,2019-07-30,3085.5514183284467,-6155.1028366568935,-6112.813302939275,8,True,0.0023162904633045934,0.0121103421732001,0.0019198980932410249,0.05494171584390618,0.7107719404047639,-0.05094465893455774,-1.1025797889617452,1.649935685797297,100.4565090618189,1.5351337563950777e-22,,
