cost_bps,sharpe_Buy&Hold,sharpe_VolTarget (no regime),sharpe_baseline,sharpe_tvtp_logrv,sharpe_tvtp_exflow,sharpe_tvtp_both,sr_diff_tvtp_logrv_minus_baseline
0,0.7074230834493743,0.6427948805718299,0.533866848623342,0.6955488366099717,0.5465402444688691,0.7046074981610283,0.1616819879866297
10,0.7072363092273015,0.5867833117154367,0.3927164173766828,0.6146291588648187,0.39229994049378497,0.5961804605449798,0.22191274148813595
25,0.7069557555378477,0.5027574371207455,0.18101063808625698,0.4932242157573538,0.16101941421205596,0.4335531151166781,0.3122135776710968
50,0.7064871211334706,0.3627070284011387,-0.17154251667829878,0.2908830463204924,-0.22397027510111173,0.16266600736801082,0.4624255629987912
