model,mean_qlike,mean_mse_x1e6,mean_logscore,dm_qlike,p_qlike,dm_mse,p_mse,dm_logscore,p_logscore
baseline,-5.8193382689918005,22.536807553639647,2.0996140459772445,,,,,,
tvtp_logrv,-5.88164440848359,22.275004695353644,2.1196452294352937,-2.2713402723853746,0.023196143882803357,-2.545323401762218,0.010966747303910479,-4.622108219030969,3.957108214825987e-06
tvtp_exflow,-5.825835751342048,22.534437981572395,2.09907778622316,-0.9891629387034647,0.3226623056373824,-0.1262975965644617,0.899504727246353,0.6399080999070595,0.5222806644650955
tvtp_both,-5.888678045260612,22.251780442739413,2.1195567276426,-2.2430574949227045,0.02496501172741865,-2.34347842022563,0.019169103929727378,-4.601118939743795,4.374542908318232e-06
rolling RV10 (ref),-5.500666302881036,23.925744165540962,,3.4704901727408597,0.0005267568866144421,1.1630837213876977,0.24488700351535087,,
EWMA(0.94) (ref),-5.8250176861186915,22.535723095850617,,-0.13036106062770683,0.8962894149235305,-0.0047923969970145855,0.9961765501316803,,
