time,xi0,pstay0,xi1,pstay1,h,m,logscore,window
2018-01-31,0.10309076101261823,0.9344284400179113,0.896909238987382,0.8969092406831262,0.0030621679040908185,0.0012794167551962849,2.1210128981783645,0
2018-02-01,0.3326098990581695,0.9438302230434831,0.6673901009418305,0.8921714585939391,0.0023512059015792187,0.0014843925322446398,-0.1754634932186669,0
2018-02-02,0.08070309702329358,0.8547991415364491,0.9192969029767063,0.919296911327478,0.003131511777495789,0.0012594230899116122,1.7759230604302492,0
2018-02-03,0.1304427787000481,0.8609649782957378,0.8695572212999518,0.9181456003383903,0.002977446284850851,0.0013038439168136684,1.6373960107657195,0
2018-02-04,0.1532562490149773,0.9398925518442505,0.8467437509850227,0.8942629426392777,0.002906781694988215,0.0013242178553217686,0.19967464617541558,0
2018-02-05,0.08398243605023983,0.8715949133811294,0.9160175639497601,0.9160175779567842,0.003121354355463675,0.0012623517566492848,-3.348244559317643,0
2018-02-06,0.09365417570817139,0.9094988757518017,0.9063458242918286,0.9063458242918286,0.0030913970170188326,0.0012709892601214373,-0.33232944295330524,0
2018-02-07,0.08397769937585012,0.871572372367309,0.9160223006241499,0.9160223006470727,0.0031213690268474445,0.0012623475264856396,1.9810475979776758,0
2018-02-08,0.25067030002203733,0.9505139528497063,0.7493296999779627,0.8881861537263519,0.0026050329050595422,0.0014112150485433524,0.831413730628666,0
2018-02-09,0.09255661407523047,0.9053375624355009,0.9074433859247697,0.9076198673473185,0.00309479662236986,0.001270009064959996,1.447283367291234,0
2018-02-10,0.12707115681904022,0.9637700588162869,0.87292884318096,0.8779410253805903,0.0029878897933443907,0.0013008328353811666,2.020408516664257,0
2018-02-11,0.29863947100952337,0.9324716015925532,0.7013605289904766,0.8977937904005138,0.0024564385186992225,0.0014540546922491159,1.1625728985178871,0
2018-02-12,0.14285224257739487,0.9731278627094843,0.8571477574226052,0.8675015334404926,0.0029390081465911107,0.0013149263891629147,0.4577234862852183,0
2018-02-13,0.10775474225552437,0.9436959413609033,0.8922452577444756,0.8922456318759229,0.0030477215206786996,0.0012835819990515223,1.5226029144608881,0
2018-02-14,0.11174739358715993,0.9294677793327976,0.8882526064128401,0.8990940158451145,0.003035354511136391,0.00128714770087558,0.21490466995994595,0
