,ann_return,ann_vol,sharpe,sortino,max_drawdown,final_wealth,hit_rate,n_days,calmar,ann_turnover
Buy&Hold,0.45167741914398424,0.6386513436187532,0.7072363092273015,0.9517842305593438,-0.7666881595920355,7.685484014237721,0.5176276771004943,3035.0,0.5891279439926757,0.12026359143327842
VolTarget (no regime),0.10707341584454863,0.18247522331799776,0.5867833117154367,0.7873223627248152,-0.31589239601810615,2.120070132580865,0.515650741350906,3035.0,0.3389553442698616,10.219680157387074
baseline,0.20298808581170816,0.3915837004578015,0.5183772602751193,0.6221734102490774,-0.5946443718911596,2.7993765360042726,0.5113673805601318,3035.0,0.3413604759532845,37.131004223145666
tvtp_logrv,0.28383559785907003,0.3717779680377716,0.7634545945719761,1.002822797015261,-0.5518371788445673,5.949324492123954,0.5166392092257002,3035.0,0.5143466383569207,19.185113063172647
tvtp_exflow,0.19577590003625125,0.3898754496046186,0.5021498538438158,0.6093296225921944,-0.6302563359692083,2.6647556446540244,0.5103789126853377,3035.0,0.3106290073786994,38.919924189940424
tvtp_both,0.28192619179572603,0.3721583710294479,0.7575435990217668,0.9993944600617646,-0.5673996600419579,5.859530436716712,0.514662273476112,3035.0,0.4968740936060453,24.334369102398707
